FREQ;UNIT;INDIC_PS;GEO\TIME_PERIOD,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;PC;QOS801;AT,96.0 ,95.5 ,: c,: c,95.7 ,: 
A;PC;QOS801;BE,93.9 ,95.7 ,94.7 ,91.3 ,90.9 ,91.6 
A;PC;QOS801;BG,47.9 ,50.7 ,67.2 ,71.4 ,59.7 ,53.1 
A;PC;QOS801;CH,97.9 ,97.6 ,97.7 ,97.8 ,98.0 ,: 
A;PC;QOS801;CY,90.0 ,90.0 ,90.0 ,90.0 ,90.0 ,90.0 
A;PC;QOS801;CZ,: ,93.1 ,93.9 ,93.8 ,93.0 ,93.4 
A;PC;QOS801;DE,92.3 ,91.2 ,90.9 ,86.6 ,89.8 ,88.7 
A;PC;QOS801;DK,93.5 ,93.2 ,94.9 ,92.8 ,93.2 ,95.5 
A;PC;QOS801;EE,88.8 ,88.7 ,88.5 ,87.9 ,88.6 ,85.9 
A;PC;QOS801;EL,91.7 ,90.5 ,87.3 ,89.9 ,86.1 ,71.7 
A;PC;QOS801;ES,: ,: ,: ,: ,: z,: z
A;PC;QOS801;FI,90.4 ,90.2 ,91.0 ,: ,82.0 ,94.0 b
A;PC;QOS801;FR,87.9 ,87.4 ,86.7 ,85.5 ,84.9 ,86.4 
A;PC;QOS801;HR,78.0 ,85.2 ,87.6 ,86.4 ,85.2 ,85.4 
A;PC;QOS801;HU,93.0 ,92.8 ,90.1 ,90.2 ,90.0 ,88.9 
A;PC;QOS801;IE,86.0 ,87.0 ,90.0 ,91.0 ,91.0 ,90.0 
A;PC;QOS801;IS,89.0 ,88.0 ,89.0 ,88.0 ,87.0 ,84.0 
A;PC;QOS801;IT,90.7 ,90.7 ,90.5 ,: d,83.9 ,85.8 
A;PC;QOS801;LT,85.9 ,90.0 ,85.4 ,81.1 ,83.1 ,88.6 
A;PC;QOS801;LU,98.4 ,99.6 ,99.8 ,99.6 ,99.6 ,99.4 
A;PC;QOS801;LV,90.1 ,90.5 ,90.8 ,93.0 ,94.5 ,94.4 
A;PC;QOS801;MK,60.5 ,: ,: ,: ,63.2 ,62.3 
A;PC;QOS801;MT,95.8 ,95.2 ,94.0 ,95.3 ,93.6 ,94.5 
A;PC;QOS801;NL,93.9 ,95.8 ,: c,96.4 ,96.4 ,95.4 
